variable,value
2020-06-30,1
2020-07-01,1
2020-07-02,1
2020-07-03,1
2020-07-04,1
2020-07-05,1
2020-07-06,1
2020-07-07,1
2020-07-08,1
2020-07-09,1
2020-07-10,1
2020-07-11,1
2020-07-12,1
2020-07-13,1
2020-07-14,1
2020-07-15,1
2020-07-16,1
2020-07-17,1
2020-07-18,1
2020-07-19,1
2020-07-20,2
2020-07-21,2
2020-07-22,2
2020-07-23,2
2020-07-24,2
2020-07-25,2
2020-07-26,2
2020-07-27,3
2020-07-28,3
2020-07-29,3
2020-07-30,3
2020-07-31,3
2020-08-01,3
2020-08-02,3
2020-08-03,3
2020-08-04,4
2020-08-05,4
2020-08-06,4
2020-08-07,4
2020-08-08,4
2020-08-09,4
2020-08-10,4
2020-08-11,4
2020-08-12,5
2020-08-13,5
2020-08-14,5
2020-08-15,5
2020-08-16,5
2020-08-17,10
2020-08-18,11
2020-08-19,11
2020-08-20,12
2020-08-21,12
2020-08-22,12
2020-08-23,12
2020-08-24,12
2020-08-25,14
2020-08-26,15
2020-08-27,17
2020-08-28,18
2020-08-29,18
2020-08-30,18
2020-08-31,20
2020-09-01,20
2020-09-02,20
2020-09-03,22
2020-09-04,22
2020-09-05,19
2020-09-06,19
2020-09-07,20
2020-09-08,23
2020-09-09,24
2020-09-10,25
2020-09-11,25
2020-09-12,23
2020-09-13,23
2020-09-14,29
2020-09-15,29
2020-09-16,29
2020-09-17,29
2020-09-18,29
2020-09-19,27
2020-09-20,26
2020-09-21,31
2020-09-22,32
2020-09-23,32
2020-09-24,32
2020-09-25,32
2020-09-26,32
2020-09-27,30
2020-09-28,32
2020-09-29,33
2020-09-30,33
2020-10-01,34
2020-10-02,34
2020-10-03,30
2020-10-04,30
2020-10-05,35
2020-10-06,36
2020-10-07,35
2020-10-08,34
2020-10-09,34
2020-10-10,33
2020-10-11,33
2020-10-12,33
2020-10-13,37
2020-10-14,37
2020-10-15,35
2020-10-16,35
2020-10-17,33
2020-10-18,33
2020-10-19,34
2020-10-20,34
2020-10-21,34
2020-10-22,34
2020-10-23,34
2020-10-24,33
2020-10-25,33
2020-10-26,33
2020-10-27,33
2020-10-28,33
2020-10-29,33
2020-10-30,33
2020-10-31,33
2020-11-01,33
2020-11-02,33
2020-11-03,33
2020-11-04,33
2020-11-05,33
2020-11-06,33
2020-11-07,33
2020-11-08,33
2020-11-09,33
2020-11-10,32
2020-11-11,32
2020-11-12,32
2020-11-13,32
2020-11-14,32
2020-11-15,32
2020-11-16,32
2020-11-17,32
2020-11-18,31
2020-11-19,31
2020-11-20,31
2020-11-21,31
2020-11-22,31
2020-11-23,31
2020-11-24,31
2020-11-25,29
2020-11-26,29
2020-11-27,29
2020-11-28,29
2020-11-29,29
2020-11-30,29
2020-12-01,30
2020-12-02,29
2020-12-03,29
2020-12-04,29
2020-12-05,29
2020-12-06,29
2020-12-07,29
2020-12-08,29
2020-12-09,29
2020-12-10,29
2020-12-11,28
2020-12-12,27
2020-12-13,27
2020-12-14,27
2020-12-15,27
2020-12-16,26
2020-12-17,26
2020-12-18,25
2020-12-19,23
2020-12-20,23
2020-12-21,23
2020-12-22,23
2020-12-23,23
2020-12-24,23
